Ano,Consumo Atual (TWh),Consumo com Renováveis (TWh),CO2 Evitado (milhões ton)
1900,,,
1901,,,
1902,,,
1903,,,
1904,,,
1905,,,
1906,,,
1907,,,
1908,,,
1909,,,
1910,,,
1911,,,
1912,,,
1913,,,
1914,,,
1915,,,
1916,,,
1917,,,
1918,,,
1919,,,
1920,,,
1921,,,
1922,,,
1923,,,
1924,,,
1925,,,
1926,,,
1927,,,
1928,,,
1929,,,
1930,,,
1931,,,
1932,,,
1933,,,
1934,,,
1935,,,
1936,,,
1937,,,
1938,,,
1939,,,
1940,,,
1941,,,
1942,,,
1943,,,
1944,,,
1945,,,
1946,,,
1947,,,
1948,,,
1949,,,
1950,,,
1951,,,
1952,,,
1953,,,
1954,,,
1955,,,
1956,,,
1957,,,
1958,,,
1959,,,
1960,,,
1961,,,
1962,,,
1963,,,
1964,,,
1965,273.87,191.709,20.54025
1966,298.78,209.14599999999996,22.408500000000004
1967,309.579,216.7053,23.218425000000003
1968,353.486,247.44019999999998,26.511450000000004
1969,385.812,270.0684,28.935900000000004
1970,453.364,317.35479999999995,34.002300000000005
1971,505.227,353.65889999999996,37.892025000000004
1972,576.983,403.88809999999995,43.273725
1973,679.622,475.7353999999999,50.97165000000001
1974,757.394,530.1758,56.804550000000006
1975,799.321,559.5246999999999,59.94907500000002
1976,875.158,612.6106,65.63685000000001
1977,933.365,653.3555,70.002375
1978,1032.268,722.5876,77.42010000000002
1979,1126.455,788.5184999999999,84.484125
1980,1153.122,807.1854,86.48415000000003
1981,1130.038,791.0265999999999,84.75285000000002
1982,1188.162,831.7134,89.11215000000001
1983,1201.787,841.2509,90.13402500000001
1984,1279.698,895.7886,95.97735000000003
1985,1371.653,960.1570999999999,102.87397500000003
1986,1446.851,1012.7957,108.51382500000003
1987,1486.949,1040.8643,111.52117500000003
1988,1532.864,1073.0048,114.96480000000003
1989,1576.284,1103.3988,118.22130000000004
1990,1565.992,1096.1943999999999,117.44940000000003
1991,1616.594,1131.6158,121.24455
1992,1639.306,1147.5141999999998,122.94795000000005
1993,1715.203,1200.6420999999998,128.64022500000004
1994,1798.857,1259.1998999999998,134.91427500000003
1995,1912.793,1338.9551,143.459475
1996,2025.349,1417.7442999999998,151.90117500000002
1997,2153.253,1507.2771,161.49397500000003
1998,2229.139,1560.3973,167.185425
1999,2254.618,1578.2325999999998,169.09635000000003
2000,2356.764,1649.7348,176.75730000000004
2001,2297.833,1608.4831,172.33747500000004
2002,2350.13,1645.091,176.25975000000005
2003,2394.621,1676.2347,179.59657500000003
2004,2511.056,1757.7392,188.32920000000001
2005,2576.396,1803.4772,193.22970000000004
2006,2647.395,1853.1764999999998,198.55462500000004
2007,2817.879,1972.5152999999998,211.34092500000003
2008,2939.233,2057.4631,220.44247500000006
2009,2918.588,2043.0116,218.89410000000004
2010,3185.037,2229.5258999999996,238.87777500000004
2011,3295.79,2307.053,247.18425000000002
2012,3392.321,2374.6247,254.42407500000002
2013,3473.939,2431.7572999999998,260.545425
2014,3564.418,2495.0926,267.33135000000004
2015,3516.957,2461.8698999999997,263.77177500000005
2016,3432.166,2402.5162,257.41245000000004
2017,3462.993,2424.0951,259.724475
2018,3475.968,2433.1775999999995,260.6976000000001
2019,3532.95,2473.0649999999996,264.97125000000005
2020,3394.368,2376.0575999999996,254.57760000000007
2021,3570.67,2499.469,267.80025
2022,3724.87,2607.4089999999997,279.36525000000006
